36-50GL,40,40,40,40,36,36,30,,,,,,,,,,,,,,,,,,,,,,,,
36-60GL,36,36,36,36,36,36,30,,,,,,,,,,,,,,,,,,,,,,,,
36-70GL,32,32,32,32,32,32,30,,,,,,,,,,,,,,,,,,,,,,,,
36-80GL,32,32,32,32,32,32,30,,,,,,,,,,,,,,,,,,,,,,,,
36-90GL,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
36-20LL,54,48,42,42,36,36,30,,,,,,,,,,,,,,,,,,,,,,,,
36-27LL,42,42,42,42,36,36,30,,,,,,,,,,,,,,,,,,,,,,,,
36-34LL,40,40,40,40,36,36,30,,,,,,,,,,,,,,,,,,,,,,,,
36-41LL,36,36,36,36,36,36,30,,,,,,,,,,,,,,,,,,,,,,,,
36-47LL,32,32,32,32,32,32,30,,,,,,,,,,,,,,,,,,,,,,,,
36-54LL,32,32,32,32,32,32,30,,,,,,,,,,,,,,,,,,,,,,,,
36-61LL,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,
