,12-OH,18-OH,20-OH,22-OH,24-OH,26-OH,28-OH,30-OH,12-MI,18-MI,20-MI,22-MI,24-MI,26-MI,28-MI,30-MI,12-TX,18-TX,20-TX,22-TX,24-TX,26-TX,28-TX,30-TX,12-IL,18-IL,20-IL,22-IL,24-IL,26-IL,28-IL,30-IL,12-WI,18-WI,20-WI,22-WI,24-WI,26-WI,28-WI,30-WI,12-MO,18-MO,20-MO,22-MO,24-MO,26-MO,28-MO,30-MO,12-AZ,18-AZ,20-AZ,22-AZ,24-AZ,26-AZ,28-AZ,30-AZ,12-NM,18-NM,20-NM,22-NM,24-NM,26-NM,28-NM,30-NM,12-CA,18-CA,20-CA,22-CA,24-CA,26-CA,28-CA,30-CA,12-NV,18-NV,20-NV,22-NV,24-NV,26-NV,28-NV,30-NV,12-NY,18-NY,20-NY,22-NY,24-NY,26-NY,28-NY,30-NY,12-PA,18-PA,20-PA,22-PA,24-PA,26-PA,28-PA,30-PA,,,,,,
14,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
15,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
16,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
17,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
18,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
19,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
20,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,7,7,7,,,,,,
21,6,6,6,6,6,7,7,7,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,6,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,8,8,8,8,8,,,,,,
22,6,6,6,6,6,7,7,7,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,6,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,8,8,8,8,8,,,,,,
23,6,6,6,6,6,7,7,7,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,6,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,8,8,8,8,8,,,,,,
24,6,6,6,6,6,7,7,7,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,6,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,8,8,8,8,8,,,,,,
25,6,6,6,6,6,7,7,7,9,9,9,9,9,9,9,9,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,6,6,6,7,7,7,7,7,6,6,7,7,7,7,7,7,6,6,6,6,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,7,7,7,8,8,8,8,8,,,,,,
26,7,7,7,7,7,8,8,8,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,7,7,7,8,8,8,8,8,7,7,9,9,9,9,9,9,7,7,7,7,7,9,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,8,8,8,9,9,9,9,9,,,,,,
27,7,7,7,7,7,8,8,8,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,7,7,7,8,8,8,8,8,7,7,9,9,9,9,9,9,7,7,7,7,7,9,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,8,8,8,9,9,9,9,9,,,,,,
28,7,7,7,7,7,8,8,8,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,7,7,7,8,8,8,8,8,7,7,9,9,9,9,9,9,7,7,7,7,7,9,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,8,8,8,9,9,9,9,9,,,,,,
29,7,7,7,7,7,8,8,8,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,7,7,7,8,8,8,8,8,7,7,9,9,9,9,9,9,7,7,7,7,7,9,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,8,8,8,9,9,9,9,9,,,,,,
30,7,7,7,7,7,8,8,8,10,10,10,10,10,10,10,10,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,7,7,7,8,8,8,8,8,7,7,9,9,9,9,9,9,7,7,7,7,7,9,9,9,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,8,8,8,9,9,9,9,9,,,,,,
31,8,8,8,8,8,9,9,9,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,12,12,12,12,12,12,12,12,8,8,8,9,9,9,9,9,8,8,10,10,10,10,10,10,8,8,8,8,8,10,10,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,10,10,10,10,10,10,10,10,,,,,,
32,8,8,8,8,8,9,9,9,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,12,12,12,12,12,12,12,12,8,8,8,9,9,9,9,9,8,8,10,10,10,10,10,10,8,8,8,8,8,10,10,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,10,10,10,10,10,10,10,10,,,,,,
33,8,8,8,8,8,9,9,9,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,12,12,12,12,12,12,12,12,8,8,8,9,9,9,9,9,8,8,10,10,10,10,10,10,8,8,8,8,8,10,10,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,10,10,10,10,10,10,10,10,,,,,,
34,8,8,8,8,8,9,9,9,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,12,12,12,12,12,12,12,12,8,8,8,9,9,9,9,9,8,8,10,10,10,10,10,10,8,8,8,8,8,10,10,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,10,10,10,10,10,10,10,10,,,,,,
35,8,8,8,8,8,9,9,9,12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,12,12,12,12,12,12,12,12,8,8,8,9,9,9,9,9,8,8,10,10,10,10,10,10,8,8,8,8,8,10,10,10,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,12,12,12,12,12,12,10,10,10,10,10,10,10,10,,,,,,
36,9,9,9,9,9,11,11,11,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,13,13,13,13,13,13,13,13,9,9,9,11,11,11,11,11,9,9,11,11,11,11,11,11,9,9,9,9,9,11,11,11,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,11,11,11,13,13,13,13,13,,,,,,
37,9,9,9,9,9,11,11,11,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,13,13,13,13,13,13,13,13,9,9,9,11,11,11,11,11,9,9,11,11,11,11,11,11,9,9,9,9,9,11,11,11,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,11,11,11,13,13,13,13,13,,,,,,
38,9,9,9,9,9,11,11,11,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,13,13,13,13,13,13,13,13,9,9,9,11,11,11,11,11,9,9,11,11,11,11,11,11,9,9,9,9,9,11,11,11,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,11,11,11,13,13,13,13,13,,,,,,
39,9,9,9,9,9,11,11,11,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,13,13,13,13,13,13,13,13,9,9,9,11,11,11,11,11,9,9,11,11,11,11,11,11,9,9,9,9,9,11,11,11,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,11,11,11,13,13,13,13,13,,,,,,
40,9,9,9,9,9,11,11,11,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,13,13,13,13,13,13,13,13,9,9,9,11,11,11,11,11,9,9,11,11,11,11,11,11,9,9,9,9,9,11,11,11,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,11,11,11,13,13,13,13,13,,,,,,
41,10,10,10,10,10,12,12,12,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,14,14,10,10,10,12,12,12,12,12,10,10,12,12,12,12,12,12,10,10,10,10,10,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,12,12,12,14,14,14,14,14,,,,,,
42,10,10,10,10,10,12,12,12,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,14,14,10,10,10,12,12,12,12,12,10,10,12,12,12,12,12,12,10,10,10,10,10,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,12,12,12,14,14,14,14,14,,,,,,
43,10,10,10,10,10,12,12,12,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,14,14,10,10,10,12,12,12,12,12,10,10,12,12,12,12,12,12,10,10,10,10,10,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,12,12,12,14,14,14,14,14,,,,,,
44,10,10,10,10,10,12,12,12,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,14,14,10,10,10,12,12,12,12,12,10,10,12,12,12,12,12,12,10,10,10,10,10,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,12,12,12,14,14,14,14,14,,,,,,
45,10,10,10,10,10,12,12,12,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,14,14,14,14,14,14,14,14,10,10,10,12,12,12,12,12,10,10,12,12,12,12,12,12,10,10,10,10,10,12,12,12,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,12,12,12,14,14,14,14,14,,,,,,
46,11,11,11,11,11,13,13,13,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,15,15,15,15,15,15,15,15,11,11,11,13,13,13,13,13,11,11,13,13,13,13,13,13,11,11,11,11,11,13,13,13,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,13,13,13,15,15,15,15,15,,,,,,
47,11,11,11,11,11,13,13,13,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,15,15,15,15,15,15,15,15,11,11,11,13,13,13,13,13,11,11,13,13,13,13,13,13,11,11,11,11,11,13,13,13,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,13,13,13,15,15,15,15,15,,,,,,
48,11,11,11,11,11,13,13,13,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,15,15,15,15,15,15,15,15,11,11,11,13,13,13,13,13,11,11,13,13,13,13,13,13,11,11,11,11,11,13,13,13,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,13,13,13,15,15,15,15,15,,,,,,
49,11,11,11,11,11,13,13,13,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,15,15,15,15,15,15,15,15,11,11,11,13,13,13,13,13,11,11,13,13,13,13,13,13,11,11,11,11,11,13,13,13,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,13,13,13,15,15,15,15,15,,,,,,
50,11,11,11,11,11,13,13,13,17,17,17,17,17,17,17,17,11,11,11,11,11,11,11,11,11,11,13,13,13,13,13,13,15,15,15,15,15,15,15,15,11,11,11,13,13,13,13,13,11,11,13,13,13,13,13,13,11,11,11,11,11,13,13,13,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,13,13,13,15,15,15,15,15,,,,,,
51,12,12,12,12,12,14,14,14,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,17,17,17,17,17,12,12,12,14,14,14,14,14,12,12,15,15,15,15,15,15,12,12,12,12,12,15,15,15,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,14,14,14,16,16,16,16,16,,,,,,
52,12,12,12,12,12,14,14,14,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,17,17,17,17,17,12,12,12,14,14,14,14,14,12,12,15,15,15,15,15,15,12,12,12,12,12,15,15,15,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,14,14,14,16,16,16,16,16,,,,,,
53,12,12,12,12,12,14,14,14,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,17,17,17,17,17,12,12,12,14,14,14,14,14,12,12,15,15,15,15,15,15,12,12,12,12,12,15,15,15,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,14,14,14,16,16,16,16,16,,,,,,
54,12,12,12,12,12,14,14,14,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,17,17,17,17,17,12,12,12,14,14,14,14,14,12,12,15,15,15,15,15,15,12,12,12,12,12,15,15,15,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,14,14,14,16,16,16,16,16,,,,,,
55,12,12,12,12,12,14,14,14,18,18,18,18,18,18,18,18,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,16,16,16,17,17,17,17,17,12,12,12,14,14,14,14,14,12,12,15,15,15,15,15,15,12,12,12,12,12,15,15,15,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,17,17,17,17,17,14,14,14,16,16,16,16,16,,,,,,
56,13,13,13,13,13,15,15,15,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,17,17,17,19,19,19,19,19,13,13,13,15,15,15,15,15,13,13,17,17,17,17,17,17,13,13,13,13,13,17,17,17,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,15,15,15,17,17,17,17,17,,,,,,
57,13,13,13,13,13,15,15,15,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,17,17,17,19,19,19,19,19,13,13,13,15,15,15,15,15,13,13,17,17,17,17,17,17,13,13,13,13,13,17,17,17,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,15,15,15,17,17,17,17,17,,,,,,
58,13,13,13,13,13,15,15,15,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,17,17,17,19,19,19,19,19,13,13,13,15,15,15,15,15,13,13,17,17,17,17,17,17,13,13,13,13,13,17,17,17,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,15,15,15,17,17,17,17,17,,,,,,
59,13,13,13,13,13,15,15,15,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,17,17,17,19,19,19,19,19,13,13,13,15,15,15,15,15,13,13,17,17,17,17,17,17,13,13,13,13,13,17,17,17,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,15,15,15,17,17,17,17,17,,,,,,
60,13,13,13,13,13,15,15,15,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,17,17,17,19,19,19,19,19,13,13,13,15,15,15,15,15,13,13,17,17,17,17,17,17,13,13,13,13,13,17,17,17,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,15,15,15,17,17,17,17,17,,,,,,
61,14,14,14,14,14,16,16,16,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,20,20,20,21,21,21,21,21,14,14,14,16,16,16,16,16,14,14,18,18,18,18,18,18,14,14,14,14,14,18,18,18,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,21,21,21,21,21,21,17,17,17,18,18,18,18,18,,,,,,
62,14,14,14,14,14,16,16,16,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,20,20,20,21,21,21,21,21,14,14,14,16,16,16,16,16,14,14,18,18,18,18,18,18,14,14,14,14,14,18,18,18,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,21,21,21,21,21,21,17,17,17,18,18,18,18,18,,,,,,
63,14,14,14,14,14,16,16,16,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,20,20,20,21,21,21,21,21,14,14,14,16,16,16,16,16,14,14,18,18,18,18,18,18,14,14,14,14,14,18,18,18,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,21,21,21,21,21,21,17,17,17,18,18,18,18,18,,,,,,
64,14,14,14,14,14,16,16,16,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,20,20,20,21,21,21,21,21,14,14,14,16,16,16,16,16,14,14,18,18,18,18,18,18,14,14,14,14,14,18,18,18,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,21,21,21,21,21,21,17,17,17,18,18,18,18,18,,,,,,
